1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
2,48
2,49
2,50
2,51
2,52
2,53
2,54
2,55
2,56
2,57
2,58
2,59
2,60
2,61
2,62
2,63
2,64
3,66
3,67
4,3
4,4
4,5
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,66
4,67
6,3
6,4
6,5
6,7
6,10
6,11
6,13
6,14
6,16
6,17
6,19
6,20
6,22
6,23
6,25
6,26
6,28
6,29
6,31
6,32
6,34
6,35
6,37
6,38
6,40
6,41
6,43
6,44
6,46
6,47
6,49
6,50
6,52
6,53
6,55
6,56
6,58
6,59
6,62
6,63
6,64
6,66
6,67
9,3
9,4
9,7
9,10
9,11
9,13
9,14
9,16
9,17
9,19
9,20
9,22
9,23
9,25
9,26
9,28
9,29
9,31
9,32
9,34
9,35
9,37
9,38
9,40
9,41
9,43
9,44
9,46
9,47
9,49
9,50
9,52
9,53
9,55
9,56
9,58
9,59
9,62
9,63
9,66
9,67
12,3
12,4
12,7
12,10
12,11
12,13
12,14
12,16
12,17
12,19
12,20
12,22
12,23
12,25
12,26
12,28
12,29
12,31
12,32
12,34
12,35
12,37
12,38
12,40
12,41
12,43
12,44
12,46
12,47
12,49
12,50
12,52
12,53
12,55
12,56
12,58
12,59
12,62
12,63
12,66
12,67
15,3
15,4
15,7
15,10
15,11
15,13
15,14
15,16
15,17
15,19
15,20
15,22
15,23
15,25
15,26
15,28
15,29
15,31
15,32
15,34
15,35
15,37
15,38
15,40
15,41
15,43
15,44
15,46
15,47
15,49
15,50
15,52
15,53
15,55
15,56
15,58
15,59
15,62
15,63
15,66
15,67
18,3
18,4
18,7
18,10
18,11
18,13
18,14
18,16
18,17
18,19
18,20
18,22
18,23
18,25
18,26
18,28
18,29
18,31
18,32
18,34
18,35
18,37
18,38
18,40
18,41
18,43
18,44
18,46
18,47
18,49
18,50
18,52
18,53
18,55
18,56
18,58
18,59
18,62
18,63
18,66
18,67
21,3
21,4
21,7
21,10
21,11
21,13
21,14
21,16
21,17
21,19
21,20
21,22
21,23
21,25
21,26
21,28
21,29
21,31
21,32
21,34
21,35
21,37
21,38
21,40
21,41
21,43
21,44
21,46
21,47
21,49
21,50
21,52
21,53
21,55
21,56
